nama_shelter;alamat_shelter;latitude;longitude;jenis_hewan
Ambi MURAI BATU;Garot, Kec. Darul Imarah, Kabupaten Aceh Besar, Aceh 23233;5.525168011177660;95.296196922357200;Lainnya
White House 86;Lamgugob, Syiah Kuala, Banda Aceh City, Aceh 24415;5.579883988761110;95.350470777605700;Lainnya
Rumah Bg Syaloen;Ulee Tuy, Darul Imarah, Aceh Besar Regency, Aceh 23234;5.506266719530460;95.312220967976000;Lainnya
Rumah Rafi;Jl. Pati No.26, Keuramat, Kec. Kuta Alam, Kota Banda Aceh, Aceh 24415;5.564817239261390;95.326574675420200;Lainnya
ILUH SHELTER;Jl. Pura Pengulapan, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361;-8.806080271201140;115.165674248593000;Anjing
Utiek Cat Day Care;Jl. Wayan Gentuh, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.620393217739520;115.178953822544000;Kucing
Bali house dog rescue by nia nia;Jl. Pejeng Kaja - Tampak Siring No.18, Sanding, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552;-8.452121409200270;115.302270282648000;Anjing
BARC 4 BALI DOGS - Bali Adoption Rehab Centre;Jl. Sandat No.24, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571;-8.497739872392760;115.266074145169000;Anjing
Villa Kitty Foundation;MAS, Ubud, Gianyar Regency, Bali 80571;-8.536107511884460;115.278090440817000;Kucing
BAWA (Bali Animal Welfare Association) Main Office;Jl. A.A. Gede Rai No.550, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571;-8.541539786755560;115.259894335978000;Anjing
The Bali Dog Halfway House;Jl. Lalang Temu No.4, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361;-8.778635738952120;115.159358282500000;Anjing
Karuna Island;Jl. Yudistira, Sading, Kec. Mengwi, Kabupaten Badung, Bali 80115;-8.586301597318510;115.197767338468000;Anjing
Bali Dog Association Sanctuary;Banjar Aseman Jl. Dr. Ir. Soekarno, Manikyang, Selemadeg, Tabanan Regency, Bali 82121;-8.429210006848380;115.059448568812000;Anjing
Ews Gold Fish;Tegallinggah, Kec. Penebel, Kabupaten Tabanan, Bali 82152;-8.431514355674730;115.109316852844000;Lainnya
PANGLIMA BIRD FARM BALI ?2019;Jl. Pantai Tegal Besar, Negari, Kec. Banjarangkan, Kabupaten Klungkung, Bali;-8.552060542283370;115.373189566824000;Lainnya
Vethoscope Dog Rehab Village;Jl. Sekar Sari IX No.17, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237;-8.636248547036870;115.268132810584000;Anjing
Bali Wildlife Rescue Centre, Friend of the National Parks Foundation;Banjar Dukuh, Jl. Teratai No.49, Dauh Peken, Tabanan, Tabanan Regency, Bali 82113;-8.536442974402480;115.112264285921000;Lainnya
Canfgu dog adoption;Kuta, Badung Regency, Bali 80361;-8.697486754837560;115.180678103017000;Anjing
elix gerih LBF;Abiansemal, Kec. Abiansemal, Kabupaten Badung, Bali 80352;-8.542192072612150;115.215457643010000;Lainnya
Vian Rabbitry Bali;Jl. Pulau Panjang 1 No.6, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113;-8.669760249987990;115.204799396883000;Lainnya
BALI ANIMAL DEFENDER;Jl. Kebudayaan No.10, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224;-8.691387099644730;115.227798770104000;Kucing
BALI ANIMAL DEFENDER;Jl. Kebudayaan No.10, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80225;-8.691387099644730;115.227798770104000;Anjing
Ali Chiken Shop Home;Bali, Kota Denpasar, Kec. Denpasar Utara, Ubung Kaja, I;-8.615965001319030;115.202555555593000;Lainnya
BALI REPTILE RESCUE;Jl. Taman, Gumbrih, Kec. Pekutatan, Kabupaten Jembrana, Bali 82262;-8.424030037810570;114.881437163131000;Lainnya
Yayasan Suara Komunitas Satwa;Jl. Taman Sari Madu No.30, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.652581621644840;115.172982881269000;Lainnya
The Odd Cat Bali (Cat Boarding & Cat Adoption Centre);Bjr kulibul kangin, Jl. Raya Padonan, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.622711891902900;115.155816744628000;Kucing
Chowie Blessing House Kennel;Gg. Satawana No.32, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80239;-8.622033006933380;115.226541227588000;Anjing
K9 Bali Woof;Ungasan, Kec. Kuta Sel., Denpasar, Bali 80361;-8.801216010374950;115.159936617422000;Anjing
Nyoman Kennel real;Jl. Umalas II No.34, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.650545124341980;115.158563326491000;Anjing
Tropical Pet Inn;Jl. Mundeh, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361;-8.807323002995510;115.181222626856000;Anjing
Lazarus Betta Serang;Jln. Pandeglang Raya no 144 Sempu Seroja, Jl. Raya Serang - Pandeglang, RT.03/RW.17, Cipare, Kec. Serang, Kota Serang, Banten 42117;-6.121884726067450;106.161433282539000;Lainnya
Cat Shelter | Gizmo Rescue;Jl. Rosacaninna No.667b, Serua, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414;-6.307256447670300;106.709782473597000;Kucing
MARIA STRAY HOME;Jl. Pondok Jagung Timur Gang Pasir No.8, Pd. Jagung Tim., Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15326;-6.249193244742380;106.667845524672000;Anjing
Canine Homestay;Jl. Sunan Kalijaga No.62, Larangan Indah, Kec. Larangan, Kota Tangerang, Banten 15154;-6.223399131718380;106.726871997468000;Kucing
RUMAH OZI BRC REPTILE;Jl. Kasir 1 No.58, RT.001/RW.006, Pasir Jaya, Kec. Jatiuwung, Kota Tangerang, Banten 15135;-6.169710360379280;106.566943179499000;Lainnya
Omah Ucing;Gg. Arsento No.91D, RW.1, Cemp. Putih, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412;-6.286433719625230;106.761263846271000;Kucing
Kenimal Animal Shelter and rescue;Jl. Musholla No.22, RT.5/RW.4, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560;-6.262741190287750;106.814283208475000;Kucing
Rainbow Sanctuary Indonesia;Jl. Pendidikan No.18, Rawakalong, Kec. Gn. Sindur, Kabupaten Bogor, Jawa Barat 16340;-6.356924229606070;106.709226452234000;Anjing
Bryan Cat House;kp duri rt001/01, RT.2/RW.6, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850;-6.155570271128100;106.713346325028000;Kucing
Shelter Melati Gunung Sindur;Gg. Bandung No.14, RT.01/RW.01, Gn. Sindur, Kec. Gn. Sindur, Kabupaten Bogor, Jawa Barat 16340;-6.373302135355660;106.693433606525000;Anjing
Animals Hope Gunung Sindur;Cibadung, Gunung Sindur, Bogor Regency, West Java 16340;-6.389238426022240;106.681799052873000;Anjing
Petshop Rumah Kucing Tomang;Jl. Villa Tomang Baru No.9, Kuta Jaya, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560;-6.158485067403520;106.585562013863000;Kucing
Kelompok Pelestari Penyu Alun Utara;Beringin Raya, Kec. Muara Bangka Hulu, Kota Bengkulu, Bengkulu;-3.738479360105770;102.246613158979000;Lainnya
Animal lover jogja Shelter “ fortune Life “;Pucangan, Widodomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584;-7.681597876220540;110.448696050901000;Anjing
BDS BIRDFARM;Jl. Bendosari No.02, Kembang, Madurejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55792;-7.764835398171940;110.467736919909000;Lainnya
R & D BIRD FARM;Klipuh, Gulurejo, Kec. Lendah, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55663;-7.879028218146120;110.224447344157000;Lainnya
D'Arthur;Nogosaren, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592;-7.741222496210750;110.337229785113000;Anjing
Rumah Sahabat Kocheng;Gn. Gempal, Giri Peni, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651;-7.838991568284100;110.163136089745000;Kucing
SRD Reptil;Tlepok 003/ 008, Kec. Semin, Daerah Istimewa Yogyakarta 55854;-7.842679366407880;110.723253253470000;Lainnya
Shelter GDCR;Jl. Raja Wadipalapa, Bulila, Kec. Telaga, Kabupaten Gorontalo, Gorontalo 96138;0.582653278634613;123.037958137433000;Anjing
Panti Kucing Gorontalo;Dembe Jaya, Kota Utara, Kota Gorontalo, Gorontalo 96115;0.559785349085754;123.078333916174000;Kucing
Pejaten Animal Shelter;Jl. Pejaten Barat Raya No.45w, RT.1/RW.10, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540;-6.272126136298650;106.827534431611000;Anjing
House Of Reptiles;Jl. Raya Kelapa Nias No.4, RT.3/RW.6, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240;-6.145819746067830;106.907583290634000;Lainnya
House Cats Beloved Friend Indonesia;Jl. Dr. Sumarno No.01C, RT.4/RW.4, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940;-6.201798118621170;106.942602209381000;Kucing
PAWANG ULAR JABODETABEK SHELTER KOPHI SNAKE RESCUE;Jl. Raya Mabes Hankam No.22, RT.2/RW.3, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890;-6.303817877214860;106.902469531505000;Lainnya
NATASHA GADING KENNEL;Jalan Melodi Mas 2 A8 No. 18, RT.13/RW.7, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250;-6.167090755741450;106.911576899703000;Anjing
Musang Indonesia;Jl. Galur Selatan No.25, RT.5/RW.3, Galur, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10530;-6.167090755741450;106.854242003323000;Lainnya
Rumah Singgah Kucing Jalanan Bekasi;Jl. G.Bromo II No.A377, RW.012, Bintara Jaya, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17136;-6.224950940056330;106.951051964037000;Kucing
Adopsi kucing ras jakarta;Jakarta, Jl. Cikoko Timur Raya No.3, RT.10/RW.2, Daerah Khusus Ibukota Jakarta 12770;-6.239616706000480;106.859671162742000;Kucing
Sheltermogygreen indonesia;Jl. Perdana Raya No.rt 05 no 007, Paal Lima, Kec. Kota Baru, Kota Jambi, Jambi 36128;-1.620260676677520;103.608558469240000;Anjing
Sheltermogygreen indonesia;Jl. Perdana Raya No.rt 05 no 007, Paal Lima, Kec. Kota Baru, Kota Jambi, Jambi 36129;-1.620260676677520;103.608558469240000;Kucing
persian cat house;Eka Jaya, Kec. Jambi Sel., Kota Jambi, Jambi 36139;-1.613847299272020;103.664927016608000;Kucing
ExoticPet Animal Lover;Gg. Sukamenak, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125;-6.894961109806000;107.642454618470000;Lainnya
GDSC Shelter;Jl. Manglayang, Karyawangi, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559;-6.812036216346320;107.579112236580000;Anjing
PRIMA STABLE PORDASI KAB.BANDUNG;Jl. Katapang Andir No.88, Sangkanhurip, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921;-6.982455231839030;107.576365654717000;Lainnya
OFFICE GDSC;Jl. H. Gofur, Cilame, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552;-6.838625608083890;107.520747372002000;Anjing
Cat Shelter Cirebon;Komplek PDK, Jl. Perjuangan No.Blok H, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45134;-6.729186402117140;108.532242823799000;Kucing
PHC (Pencinta Hewan Cirebon);Jl. Galunggung II Blok D11 No. 104, Kecapi, Harjamukti, Kecapi, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45142;-6.745893038223300;108.556275415096000;Anjing
Rumah kucing chibu;Jl. Moran gang sendang kahuripan, RT.04/RW.09, Sukamaju Baru, Kec. Tapos, Kota Depok, Jawa Barat 16455;-6.407540704450070;106.875935919620000;Kucing
GPS (Guguk Paul Salvatore);Jl Kp Cina No.RT 01/09, Tajurhalang, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320;-6.457585837448830;106.748800781273000;Anjing
Muzzah cat house;Jl. Letkol Komir Kartaman, Lengkongsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46182;-7.318788783665380;108.223413256500000;Kucing
KALTAS PETS HOME;Jl. Cieunteung, Argasari, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46122;-7.318269513536210;108.202900325289000;Lainnya
D'Reptiles;Perum griya purna bhakti indah rt/rw :, RT.4/RW.9, Gesaran, Ngadirojo, Kec. Secang, Kabupaten Magelang, Jawa Tengah 56195;-7.397410384102570;110.229675394498000;Lainnya
eL Purnama Puri Satwa;Dusun Kenteng RT.4/RW.5, Mujo, Sumogawe, Getasan, Semarang Regency, Central Java 50774;-7.363733766991430;110.447131457736000;Anjing
HOME CAT PERSIAN;Dusun 1, Kaligentong, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352;-7.436302793105230;110.523555153750000;Kucing
Rumah Ular CASWP;Jl. Raya Cibiuk No.16, Sukaratu, Kec. Majasari, Kabupaten Pandeglang, Banten 42211;-6.330064327721330;106.096415192870000;Lainnya
Rumah Kucing Bekasi (RPC);Jl.desa, Burangkeng, Kec. Setu, Kota Bks, Jawa Barat 17154;-6.321564951740540;107.030856263131000;Kucing
Brown House Pet Care;Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117;-6.512868409988810;107.461815135803000;Kucing
Komet Shelter;Ciater Highland, Jl Esperanza 3 no 62, Cisaat, Ciater, Subang Regency, West Java 41281;-6.694844008173100;107.654052981269000;Anjing
Laras Cat House;RT.03/RW.01, Pati Kidul, Kec. Pati, Kabupaten Pati, Jawa Tengah 59114;-6.752444167065990;111.037731965698000;Kucing
Liu & Leon cat house;Sendang Wetan, Sendangdawung, Kec. Kangkung, Kabupaten Kendal, Jawa Tengah 51353;-6.920720900359490;110.100914623409000;Kucing
Tegal Alur Animal Rescue Center;Jl. Benda Raya No.1, RW.9, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820;-6.104935618727470;106.705819968564000;Anjing
Tegal Alur Animal Rescue Center;Jl. Benda Raya No.1, RW.9, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820;-6.104935618727470;106.705819968564000;Kucing
Tegal Alur Animal Rescue Center;Jl. Benda Raya No.1, RW.9, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820;-6.104935618727470;106.705819968564000;Lainnya
Buw-Buw Pet's Care;Dungus, Karangasri, Kec. Ngawi, Kabupaten Ngawi, Jawa Timur 63218;-7.402609130249950;111.454968129378000;Anjing
Buw-Buw Pet's Care;Dungus, Karangasri, Kec. Ngawi, Kabupaten Ngawi, Jawa Timur 63219;-7.402609130249950;111.454968129378000;Kucing
Rocky aHouse;Jl. Mustang, Klegen, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63117;-7.627744422692890;111.540098607552000;Kucing
Gambluss Pitbull Comunity;Jl. Raya Pasar Barat, RT / RW : 09/03, Kec. Barat, Karangsono, Magetan, Kabupaten Magetan, Jawa Timur 63395;-7.552909694648080;111.453294744620000;Anjing
Pet Care Drh Nimas Aldila;jalan anggoro manis raya a 1 no 5 perumahan manisrejo, RW.1, Manisrejo, Kec. Taman, Kota Madiun, Jawa Timur 63138;-7.637348809043280;111.543819857903000;Anjing
Pet Care Drh Nimas Aldila;jalan anggoro manis raya a 1 no 5 perumahan manisrejo, RW.1, Manisrejo, Kec. Taman, Kota Madiun, Jawa Timur 63139;-7.637348809043280;111.543819857903000;Kucing
Yudi Cat House;Jl. Widuri, Dusun Watu Ulo, Rejosari, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur 68432;-8.212361067369270;114.343691676357000;Kucing
Annur Cat House Banyuwangi;Lingkungan Klucing, Giri, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68423;-8.183093514421630;114.360721728274000;Kucing
CNB's Bunnies;Jalan Klumprit Desa, RT.05 / RW.06, Sumbersuko, Krajan, Sumbersuko, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur 67316;-8.158908034430370;113.183049624882000;Lainnya
ReptiL eksotik;Jalan Raya, Elosan, Randuagung, Kec. Randuagung, Kabupaten Lumajang, Jawa Timur 67354;-8.063827333841130;113.307732496202000;Lainnya
Zayn cats;Dusun Prembangan, Sawahan, Kec. Turen, Kabupaten Malang, Jawa Timur 65175;-8.206842336417420;112.662519621151000;Kucing
Cat Shelter Jombang;Jl. Kp. Baru, RT.31/RW.2, Peterongan, Kec. Peterongan, Kabupaten Jombang, Jawa Timur 61481;-7.536587234073480;112.281203230756000;Kucing
Kontraan Wito;Jl. Bintoro II No.46, Pandean Lamper, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50249;-6.989931699366530;110.441533327038000;Lainnya
Merah Holic;Manyaran, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50147;-7.006808075067530;110.384672450589000;Lainnya
REKOLA;Siwalan, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50162;-6.987461102914170;110.451661348272000;Lainnya
GT Homebreed;Bendan Duwur, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50235;-7.016649512801830;110.397261634343000;Lainnya
Adit Pet'shop;Tlogosari Wetan, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196;-6.989440351985990;110.472814363034000;Kucing
Wiwik's Family's;Jl. Papandayan No.11A, RT.07/RW.2, Bendan Ngisor, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50233;-7.007592888414570;110.397883057501000;Lainnya
Noyorono Sumbing Bird;Jl. Truntum II, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196;-6.978462484003070;110.459079742112000;Lainnya
Rezcha animal cargo;Jl. Gedung Batu Utara I No.16, RT.02/RW.06, Ngemplak Simongan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148;-6.990251172135400;110.405206112147000;Lainnya
Momo cat;Gg. Tangkil 4, Dusun II, Manang, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552;-7.588718784205010;110.794006940847000;Kucing
Arofah BF;Jl. Wijaya Kusuma III, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57122;-7.572468398836310;110.824905988728000;Lainnya
Himawari Cat Adopt;Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127;-7.536883304555730;110.841330381760000;Kucing
RA pet house;Jl. Sawo Raya No.24-8, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57145;-7.555377181849400;110.782887339459000;Kucing
Norwefam house;Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137;-7.533109436065470;110.803476007343000;Kucing
Palapa Sf Bird Club;RT.5/RW.11, Sangkrah, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57199;-7.578348803672510;110.841746984590000;Lainnya
Omah Manuk;Gg. Jeruk 2, Dusun 2, Gedangan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552;-7.602432227803610;110.802660584352000;Lainnya
Hafid Reptil 354;Unnamed Road, Beran, Dibal, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375;-7.503275115263080;110.783150195970000;Lainnya
Perumahan citra handayani;Jl. Rogo Jampi, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141;-6.876431142654880;109.107993974990000;Anjing
Bambang rejeki;Jl. Betik No.3, Tegalsari, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52111;-6.853593435627370;109.129794969770000;Anjing
Sis kenari lovebird;Gg. 7, Kalinyamat Kulon, Kec. Margadana, Kota Tegal, Jawa Tengah 52141;-6.878812464447810;109.104094177098000;Lainnya
CAT HOME ZAHRA;Kendawa, Kabupaten Brebes, Jawa Tengah;-6.941135006614190;109.053908586238000;Kucing
Rumah syafiq;Jl. KH. Munadi, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261;-6.968228340926100;109.058715104916000;Kucing
AGBetta_Batu;Temas, Kec. Batu, Kota Batu, Jawa Timur 65315;-7.880779400855600;112.537923846909000;Lainnya
Kirana farm;Jl. Mojoasri No.174, Mojorejo, Kec. Junrejo, Kota Batu, Jawa Timur 65322;-7.895360083980230;112.563468946911000;Lainnya
Kebon Brid Shop;Unnamed Road, Bendowulung, Kec. Sanankulon, Kabupaten Blitar, Jawa Timur 66151;-8.118585884632120;112.140326499466000;Lainnya
Hendro Guritno;Unnamed Road, Sutojayan, Kec. Sutojayan, Kabupaten Blitar, Jawa Timur 66172;-8.169384394893650;112.211694717150000;Lainnya
Animal home;Ngadiluwih, Kec. Ngadiluwih, Kabupaten Kediri, Jawa Timur 64171;-7.883213093047960;111.984629630527000;Lainnya
Queenzy Rabbit Farm;Unnamed Road Mlati, Mlati, Kec. Mojo, Kabupaten Kediri, Jawa Timur 64162;-7.896050999361290;111.964321464459000;Lainnya
Omah Sugar Glider Prada;Jl. Mayor Bismo Jl. Mojoroto Gg. 6 No.10, Semampir, Kec. Kota, Kota Kediri, Jawa Timur 64129;-7.793699105073760;112.009712641066000;Anjing
Rocky aHouse;Jl. Mustang, Klegen, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63117;-7.629384594039640;111.538782119622000;Kucing
Pet Care Drh Nimas Aldila;jalan anggoro manis raya a 1 no 5 perumahan manisrejo, RW.1, Manisrejo, Kec. Taman, Kota Madiun, Jawa Timur 63138;-7.640436784817720;111.542319872585000;Anjing
DECTA IWAK SHELTER;Jl. Kebun Kopi V, Bunut Kidul, Asrikaton, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154;-7.940085584807680;112.702139097845000;Anjing
KUC JATILUHUR;Jl. Bend. Jati Luhur No.42, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145;-7.961444924320680;112.610626027488000;Kucing
